Team,H2H_HW,H2H_AW,Drawn
"Aston Villa,Sunderland",1,1,2
"Hull,Leicester",1,2,1
"Man City,Burnley",5,1,2
"Newcastle,Everton",2,5,1
"QPR,Crystal Palace",0,1,1
"Southampton,Chelsea",1,6,3
"Stoke,West Brom",2,4,2
"Tottenham,Man United",4,5,1
"West Ham,Arsenal",2,6,2
"Liverpool,Swansea",5,3,0
"Bournemouth,Aston Villa",1,1,0
"Everton,Watford",2,3,3
"Norwich,Crystal Palace",0,2,0
"Sunderland,Norwich",1,1,0
"Watford,West Brom",3,1,2
"Liverpool,Bournemouth",6,1,1
"Norwich,Stoke",0,1,1
"West Ham,Bournemouth",2,4,2
"Watford,Southampton",1,2,5
"Bournemouth,Leicester",2,1,5
"Man City,Watford",8,0,0
"Southampton,Norwich",1,1,0
"Norwich,Bournemouth",1,1,0
"Watford,Swansea",3,2,1
"Bournemouth,Sunderland",2,1,1
"Newcastle,Watford",1,4,1
"Liverpool,Norwich",1,0,1
"Stoke,Bournemouth",2,3,1
"West Ham,Norwich",0,0,2
"Watford,Crystal Palace",3,3,2
"Bournemouth,Watford",1,1,6
"Norwich,Leicester",0,2,0
"Man City,Bournemouth",8,0,0
"Watford,Arsenal",2,6,0
"Newcastle,Norwich",1,1,0
"Norwich,West Brom",1,1,0
"Stoke,Watford",4,1,1
"Bournemouth,Tottenham",1,6,1
"Man City,Norwich",1,0,1
"Watford,West Ham",4,3,1
"Southampton,Bournemouth",3,1,4
"Bournemouth,Newcastle",2,2,2
"Leicester,Watford",5,3,0
"Norwich,Swansea",1,1,0
"Chelsea,Norwich",2,0,0
"Swansea,Bournemouth",0,4,2
"Watford,Man United",1,7,0
"Aston Villa,Watford",0,2,0
"Bournemouth,Everton",2,4,2
"Norwich,Arsenal",0,1,1
"Chelsea,Bournemouth",5,3,0
"Watford,Norwich",1,1,0
"Bournemouth,Man United",1,6,1
"Norwich,Everton",0,1,1
"Sunderland,Watford",1,2,1
"Man United,Norwich",1,1,0
"West Brom,Bournemouth",2,3,1
"Watford,Liverpool",1,6,1
"Bournemouth,Crystal Palace",2,2,4
"Chelsea,Watford",5,1,2
"Tottenham,Norwich",2,0,0
"Arsenal,Bournemouth",6,1,1
"Norwich,Aston Villa",1,1,0
"Watford,Tottenham",1,6,1
"Middlesbrough,Stoke",0,1,1
"Sunderland,Middlesbrough",0,2,0
"West Brom,Middlesbrough",0,0,2
"Middlesbrough,Crystal Palace",0,2,0
"Everton,Middlesbrough",1,0,1
"Middlesbrough,Tottenham",0,2,0
"Burnley,Watford",3,2,1
"West Ham,Middlesbrough",1,0,1
"Bournemouth,Hull",1,1,0
"Middlesbrough,Watford",0,1,1
"Arsenal,Middlesbrough",1,0,1
"Middlesbrough,Bournemouth",1,1,0
"Watford,Hull",1,1,0
"Man City,Middlesbrough",0,0,2
"Middlesbrough,Chelsea",0,2,0
"Leicester,Middlesbrough",0,0,2
"Middlesbrough,Hull",1,1,0
"Burnley,Bournemouth",4,2,0
"Southampton,Middlesbrough",2,0,0
"Middlesbrough,Liverpool",0,2,0
"Middlesbrough,Swansea",1,0,1
"Burnley,Middlesbrough",1,0,1
"Man United,Middlesbrough",2,0,0
"Brighton,Man City",0,4,0
"Crystal Palace,Huddersfield",3,1,0
"Leicester,Brighton",3,0,1
"Huddersfield,Newcastle",1,3,0
"Huddersfield,Southampton",0,1,3
"Watford,Brighton",1,1,2
"Brighton,West Brom",1,1,0
"West Ham,Huddersfield",3,0,1
"Bournemouth,Brighton",3,0,1
"Huddersfield,Leicester",0,3,1
"Burnley,Huddersfield",1,0,3
"Brighton,Newcastle",2,0,2
"Huddersfield,Tottenham",0,4,0
"Arsenal,Brighton",1,1,2
"Swansea,Huddersfield",1,0,1
"Brighton,Everton",1,2,1
"West Ham,Brighton",0,3,1
"Huddersfield,Man United",1,2,1
"Liverpool,Huddersfield",4,0,0
"Brighton,Southampton",0,1,3
"Huddersfield,West Brom",2,0,0
"Swansea,Brighton",0,2,0
"Bournemouth,Huddersfield",3,1,0
"Brighton,Stoke",0,0,2
"Man United,Brighton",2,2,0
"Huddersfield,Man City",0,3,1
"Brighton,Crystal Palace",2,1,1
"Arsenal,Huddersfield",4,0,0
"Brighton,Liverpool",0,4,0
"Everton,Huddersfield",3,0,1
"Huddersfield,Brighton",1,2,1
"Huddersfield,Chelsea",0,3,1
"Tottenham,Brighton",3,0,1
"Brighton,Burnley",0,2,2
"Watford,Huddersfield",2,2,0
"Chelsea,Brighton",4,0,0
"Huddersfield,Stoke",0,1,1
"Bournemouth,Cardiff",1,1,0
"Fulham,Crystal Palace",0,2,0
"Wolves,Everton",1,0,1
"Cardiff,Newcastle",0,1,1
"Leicester,Wolves",1,1,0
"Tottenham,Fulham",2,0,0
"Huddersfield,Cardiff",0,0,2
"Wolves,Man City",0,1,1
"Fulham,Burnley",1,1,0
"Brighton,Fulham",0,1,1
"West Ham,Wolves",0,2,0
"Cardiff,Arsenal",0,2,0
"Chelsea,Cardiff",2,0,0
"Man City,Fulham",2,0,0
"Wolves,Burnley",1,1,0
"Cardiff,Man City",0,2,0
"Fulham,Watford",0,1,1
"Man United,Wolves",0,1,1
"Everton,Fulham",1,1,0
"Wolves,Southampton",1,1,0
"Cardiff,Burnley",0,2,0
"Crystal Palace,Wolves",1,1,0
"Tottenham,Cardiff",2,0,0
"Fulham,Arsenal",0,2,0
"Cardiff,Fulham",1,1,0
"Wolves,Watford",1,1,0
"Brighton,Wolves",1,0,1
"Fulham,Bournemouth",1,1,0
"Liverpool,Cardiff",2,0,0
"Cardiff,Leicester",1,1,0
"Wolves,Tottenham",1,1,0
"Huddersfield,Fulham",1,1,0
"Cardiff,Brighton",2,0,0
"Arsenal,Wolves",0,1,1
"Liverpool,Fulham",2,0,0
"Everton,Cardiff",2,0,0
"Fulham,Southampton",1,1,0
"Wolves,Huddersfield",0,2,0
"Cardiff,Wolves",1,1,0
"Chelsea,Fulham",2,0,0
"West Ham,Cardiff",1,1,0
"Fulham,Leicester",0,1,1
"Wolves,Chelsea",1,0,1
"Cardiff,Southampton",2,0,0
"Man United,Fulham",2,0,0
"Newcastle,Wolves",0,1,1
"Fulham,West Ham",0,2,0
"Watford,Cardiff",2,0,0
"Wolves,Bournemouth",1,0,1
"Wolves,Liverpool",0,2,0
"Cardiff,Man United",1,1,0
"Newcastle,Fulham",1,0,1
"Crystal Palace,Cardiff",1,0,1
"Fulham,Wolves",0,1,1
